state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
,,Star,846,54,9,37,8,7,1,5,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,17,0,0,2,1,0,0,0,0,1,0,16,0,0,0,1,0,4,3,8,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0
,,Surf City,2537,405,78,196,131,72,16,54,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,13,2,37,0,2,20,13,3,0,0,0,4,0,113,0,0,14,9,0,30,3,57,1,1,6,0,120,66,54,0,0,0,0,0,1,0,0,0,0,10
,,Swansboro,3425,347,44,271,32,40,3,23,14,0,0,0,0,0,0,0,0,4,1,0,0,2,1,0,0,0,17,5,70,4,2,39,25,7,1,0,2,4,0,129,0,0,5,8,2,4,2,108,3,0,2,0,29,16,13,0,0,0,0,0,2,0,0,0,0,1
,,Tabor City,4181,233,56,157,20,52,11,39,2,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,16,6,31,0,0,11,9,2,0,0,0,0,0,80,0,0,4,1,0,7,0,68,11,2,0,0,20,17,3,0,0,0,0,0,0,0,0,0,0,0
,,Taylorsville,2167,278,25,168,85,25,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,18,0,0,23,14,6,0,0,1,2,0,89,0,0,26,3,0,7,2,51,8,0,1,0,84,48,36,0,0,0,0,0,0,0,0,0,0,1
,,Taylortown,867,47,10,35,2,9,3,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,4,0,0,3,0,0,0,0,1,2,0,20,0,1,9,0,0,2,0,8,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
,,Thomasville,26631,1797,280,1129,388,266,90,167,9,2,2,0,0,0,0,0,3,9,3,0,0,6,0,0,5,0,153,51,150,1,0,123,68,34,11,0,10,0,0,476,1,1,110,10,2,90,44,218,103,23,44,0,321,274,47,0,0,0,0,0,3,0,0,0,0,64
,,Trent Woods,4005,44,1,36,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,14,5,0,5,0,1,3,0,14,0,0,0,4,0,7,0,3,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0
,,Troutman,2806,356,26,104,226,21,2,18,1,0,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,4,0,15,1,1,11,3,1,0,0,2,5,0,51,0,0,21,3,0,6,1,20,1,0,20,0,213,106,107,0,0,0,0,0,3,0,0,0,0,10
,,Troy,3194,352,53,240,59,51,23,22,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,34,3,64,2,0,17,9,4,4,0,0,0,0,103,0,0,9,4,0,37,7,46,13,2,2,0,56,44,12,0,0,0,0,0,0,0,0,0,0,3
